,0,1,2,prev_error_0,prev_error_1,prev_error_2
2019-09-12 13:00:00+00:00,3.1344522362575464,3.1344522362575464,3.311413491468086,0.0053884792743912335,0.0053884792743912335,0.16932024651416988
2019-09-12 13:30:00+00:00,3.18047053220587,3.18047053220587,3.3579616379646957,-0.05112270574161437,-0.05112270574161437,0.12583854946892536
2019-09-12 14:00:00+00:00,3.227114826824442,3.227114826824442,3.4012622393568903,-0.08989550667136026,-0.08989550667136026,0.08759559908746528
2019-09-12 14:30:00+00:00,3.276064965363818,3.276064965363818,3.4413152956446704,-0.04702332558519995,-0.04702332558519995,0.1271240869472483
2019-09-12 15:00:00+00:00,3.3215016247523836,3.3215016247523836,3.459718051236353,-0.09525837124467662,-0.09525837124467662,0.06999195903617572
2019-09-12 15:30:00+00:00,3.369382143516611,3.369382143516611,3.4575530211667433,0.0028145191130546365,0.0028145191130546365,0.141030945597024
2019-09-12 16:00:00+00:00,3.3976003890869797,3.3976003890869797,3.4553879910971337,0.193387868612231,0.193387868612231,0.28155874626236344
2019-09-12 16:30:00+00:00,3.4235660252691327,3.4235660252691327,3.453222961027524,0.17534237401486719,0.17534237401486719,0.23312997602502117
2019-09-12 17:00:00+00:00,3.43461219078115,3.43461219078115,3.479203321862841,0.10308685240344184,0.10308685240344184,0.1327437881618332
2019-09-12 17:30:00+00:00,3.4421044583305775,3.4421044583305775,3.534411588637889,-0.005843585367378612,-0.005843585367378612,0.03874754571431227
2019-09-12 18:00:00+00:00,3.4448825122719304,3.4448825122719304,3.566887039682035,-0.10169177254837436,-0.10169177254837436,-0.009384642241062835
2019-09-12 18:30:00+00:00,3.429696868938855,3.429696868938855,3.575547159960474,-0.125214080511856,-0.125214080511856,-0.0032095531017515277
2019-09-12 19:00:00+00:00,3.4137284808117996,3.4137284808117996,3.546319254020742,-0.09097584648199497,-0.09097584648199497,0.05487444453962409
2019-09-12 19:30:00+00:00,3.38090347652321,3.38090347652321,3.4802858368976457,-0.06367771643412601,-0.06367771643412601,0.06891305677481663
2019-09-12 20:00:00+00:00,3.343956739257759,3.343956739257759,3.3990972092872807,-0.05033088143838649,-0.05033088143838649,0.049051478936049
2019-09-12 20:30:00+00:00,3.3015692355968747,3.3015692355968747,3.3038358862244523,0.005815887527131913,0.005815887527131913,0.06095635755665363
2019-09-12 21:00:00+00:00,3.2506918098128765,3.2506918098128765,3.1890892925351366,0.11021289256907885,0.11021289256907885,0.11247954319665654
2019-09-12 21:30:00+00:00,3.1648097213782123,3.1648097213782123,3.054857428219333,0.1445108764482912,0.1445108764482912,0.08290835917055128
2019-09-12 22:00:00+00:00,2.8384879515616213,2.8384879515616213,2.884902567754969,0.21848619738055852,0.21848619738055852,0.1085339042216793
2019-09-12 22:30:00+00:00,2.680227601125458,2.680227601125458,2.7301029177778733,0.23387906459068564,0.23387906459068564,0.2802936807840335
2019-09-12 23:00:00+00:00,2.5013664724024025,2.5013664724024025,2.5817983580096064,0.4173667696842962,0.4173667696842962,0.46724208633671127
2019-09-12 23:30:00+00:00,2.291320751654212,2.291320751654212,2.441071403484974,0.7747869800911145,0.7747869800911145,0.8552188656983184
2019-09-13 00:00:00+00:00,2.0750643354374168,2.0750643354374168,2.3295723549000726,0.7905939462755367,0.7905939462755367,0.9403445981062986
2019-09-13 00:30:00+00:00,2.034591303300347,2.034591303300347,2.2483837272897076,0.5702625613423871,0.5702625613423871,0.824770580805043
2019-09-13 01:00:00+00:00,1.9923378717956102,1.9923378717956102,2.149874859122465,0.5181452695468478,0.5181452695468478,0.7319376935362085
2019-09-13 01:30:00+00:00,1.9069871428621485,1.9069871428621485,2.032963235363539,0.6454239040436671,0.6454239040436671,0.8029608913705217
2019-09-13 02:00:00+00:00,1.8391850790138655,1.8391850790138655,1.952857122787979,0.5782173336130088,0.5782173336130088,0.7041934261143992
2019-09-13 02:30:00+00:00,1.7734207147740908,1.7734207147740908,1.9073914913261747,0.5532515247128078,0.5532515247128078,0.6669235684869212
2019-09-13 03:00:00+00:00,1.7109312601131577,1.7109312601131577,1.814295198332956,0.27676678945532873,0.27676678945532873,0.4107375660074126
2019-09-13 03:30:00+00:00,1.5654343817773146,1.5654343817773146,1.6746507588431283,0.26877873596535706,0.26877873596535706,0.37214267418515545
2019-09-13 04:00:00+00:00,1.4218194427509263,1.4218194427509263,1.5382538644577153,0.25725245906692584,0.25725245906692584,0.3664688361327395
2019-09-13 04:30:00+00:00,1.3050810419087528,1.3050810419087528,1.4029394851071069,0.19853722705353838,0.19853722705353838,0.31497164876032735
2019-09-13 05:00:00+00:00,1.1995652691958794,1.1995652691958794,1.279532771139352,0.2138290658151052,0.2138290658151052,0.3116875090134592
2019-09-13 05:30:00+00:00,1.112908322564656,1.112908322564656,1.1680337225544508,0.21968880916110967,0.21968880916110967,0.29965631110458235
2019-09-13 06:00:00+00:00,1.0277261696510567,1.0277261696510567,1.0716898844568177,0.17310900231943227,0.17310900231943227,0.22823440230922698
